# multipoles
# s[mm] polynom_a[n=1][T/m^n] polynom_a[n=3][T/m^n] polynom_a[n=5][T/m^n] polynom_a[n=7][T/m^n] polynom_a[n=9][T/m^n] 
+5.6100000000000001e+01 +4.6210766351983534e-01 -3.0592431485274165e+02 -6.5968997520097997e+04 +1.3340072239592567e+08 -4.7282913139612732e+10 
+5.6200000000000003e+01 +4.5920478246644114e-01 -3.0458651989786023e+02 -6.3262031567583253e+04 +1.3062218461719112e+08 -4.5099707420644135e+10 
+5.6300000000000004e+01 +4.5632017568846767e-01 -3.0323915290922315e+02 -6.0589515292565004e+04 +1.2777726004783937e+08 -4.2774780438259361e+10 
+5.6400000000000006e+01 +4.5345376431551515e-01 -3.0188262802633852e+02 -5.7953413496763802e+04 +1.2488629045558392e+08 -4.0348573334938560e+10 
+5.6500000000000000e+01 +4.5060546947746805e-01 -3.0051735939635188e+02 -5.5355690922275608e+04 +1.2196961743098949e+08 -3.7861527076852097e+10 
+5.6600000000000001e+01 +4.4777521230396405e-01 -2.9914376115965098e+02 -5.2798312365524202e+04 +1.1904758273281278e+08 -3.5354082807269958e+10 
+5.6700000000000003e+01 +4.4496291392379600e-01 -2.9776224741943906e+02 -5.0283243052830439e+04 +1.1614052993553303e+08 -3.2866684202699474e+10 
+5.6800000000000004e+01 +4.4216849546774561e-01 -2.9637323236231032e+02 -4.7812447269258162e+04 +1.1326879869454238e+08 -3.0439769523142654e+10 
+5.6900000000000006e+01 +4.3939187806456181e-01 -2.9497713009059612e+02 -4.5387890246363728e+04 +1.1045273259678692e+08 -2.8113782455498032e+10 
+5.7000000000000000e+01 +4.3663298284474744e-01 -2.9357435477835219e+02 -4.3011536416652933e+04 +1.0771267192781852e+08 -2.5929162146481754e+10 
+5.7100000000000001e+01 +4.3389172674901677e-01 -2.9216521707499726e+02 -4.0685641515168048e+04 +1.0506700078607547e+08 -2.3919533988409874e+10 
+5.7200000000000003e+01 +4.3116800996512988e-01 -2.9074961378592928e+02 -3.8413623653777388e+04 +1.0252626683536308e+08 -2.2091252313351051e+10 
+5.7300000000000004e+01 +4.2846172849335451e-01 -2.8932733828322034e+02 -3.6199191249847368e+04 +1.0009905749421996e+08 -2.0443852181836037e+10 
+5.7400000000000006e+01 +4.2577277833273952e-01 -2.8789818389009918e+02 -3.4046053256182808e+04 +9.7793962365391061e+07 -1.8976871627940357e+10 
+5.7500000000000000e+01 +4.2310105548301974e-01 -2.8646194395933060e+02 -3.1957918287900779e+04 +9.5619569634716228e+07 -1.7689846717254272e+10 
+5.7600000000000001e+01 +4.2044645594371383e-01 -2.8501841183265543e+02 -2.9938495096813847e+04 +9.3584468090428650e+07 -1.6582314380387712e+10 
+5.7700000000000003e+01 +4.1780887571472541e-01 -2.8356738086892705e+02 -2.7991492235301430e+04 +9.1697245672357202e+07 -1.5653810356918341e+10 
+5.7800000000000004e+01 +4.1518821079575452e-01 -2.8210864441760748e+02 -2.6120618367980507e+04 +8.9966490806997508e+07 -1.4903871079830969e+10 
+5.7900000000000006e+01 +4.1258435718604092e-01 -2.8064199581153116e+02 -2.4329582328481069e+04 +8.8400792570738792e+07 -1.4332033825651880e+10 
+5.8000000000000000e+01 +4.0999721088553015e-01 -2.7916722840901036e+02 -2.2622092690854603e+04 +8.7008739037537426e+07 -1.3937834563181498e+10 
+5.8100000000000001e+01 +4.0742667571007096e-01 -2.7768439011195375e+02 -2.0999597612454938e+04 +8.5792621791404590e+07 -1.3716365323243214e+10 
+5.8200000000000003e+01 +4.0487268674259430e-01 -2.7619454712249319e+02 -1.9454502292153327e+04 +8.4729541428717464e+07 -1.3644935776004890e+10 
+5.8300000000000004e+01 +4.0233518688227693e-01 -2.7469902019809803e+02 -1.7976951397383040e+04 +8.3790301627477884e+07 -1.3696411109949907e+10 
+5.8400000000000006e+01 +3.9981411902844582e-01 -2.7319913010244693e+02 -1.6557089524610576e+04 +8.2945705766026542e+07 -1.3843656094390797e+10 
+5.8500000000000000e+01 +3.9730942608010483e-01 -2.7169619758630392e+02 -1.5185061414881258e+04 +8.2166557825528324e+07 -1.4059536335013449e+10 
+5.8600000000000001e+01 +3.9482105093732123e-01 -2.7019154344249381e+02 -1.3851011347946218e+04 +8.1423659898337916e+07 -1.4316914855034109e+10 
+5.8700000000000003e+01 +3.9234893649872477e-01 -2.6868648840659125e+02 -1.2545084231260820e+04 +8.0687816642323226e+07 -1.4588658178240587e+10 
+5.8800000000000004e+01 +3.8989302566355982e-01 -2.6718235323864297e+02 -1.1257424705216195e+04 +7.9929831628923893e+07 -1.4847631351948086e+10 
+5.8900000000000006e+01 +3.8745326133163027e-01 -2.6568045872120786e+02 -9.9781771609931257e+03 +7.9120507403754160e+07 -1.5066698016411076e+10 
+5.9000000000000000e+01 +3.8502958640137225e-01 -2.6418212558121400e+02 -8.6974866076845501e+03 +7.8230649059628591e+07 -1.5218725308402954e+10 
+5.9100000000000001e+01 +3.8262193371967662e-01 -2.6268835779850627e+02 -7.4081523539136988e+03 +7.7239037584925309e+07 -1.5283648487278652e+10 
+5.9200000000000003e+01 +3.8023019591838997e-01 -2.6119889199258671e+02 -6.1135951139121307e+03 +7.6156375103804037e+07 -1.5269699605239992e+10 
+5.9300000000000004e+01 +3.7785425557686469e-01 -2.5971314799707358e+02 -4.8198903326527206e+03 +7.5001341412836224e+07 -1.5192181274600210e+10 
+5.9400000000000006e+01 +3.7549399527419602e-01 -2.5823054563729136e+02 -3.5331135337863734e+03 +7.3792616597405165e+07 -1.5066396470363585e+10 
+5.9500000000000000e+01 +3.7314929758909282e-01 -2.5675050471875261e+02 -2.2593404878532469e+03 +7.2548881833650082e+07 -1.4907649735645111e+10 
+5.9600000000000001e+01 +3.7082004510103977e-01 -2.5527244508040334e+02 -1.0046465816049407e+03 +7.1288816681940421e+07 -1.4731243363128925e+10 
+5.9700000000000003e+01 +3.6850612038877051e-01 -2.5379578653099523e+02 +2.2489246524304590e+02 +7.0031102067939192e+07 -1.4552481511977041e+10 
+5.9800000000000004e+01 +3.6620740603149032e-01 -2.5231994889919574e+02 +1.4232011592408326e+03 +6.8794417970844775e+07 -1.4386667028812403e+10 
+5.9900000000000006e+01 +3.6392378460876684e-01 -2.5084435202645776e+02 +2.5842041348656976e+03 +6.7597443882638901e+07 -1.4249102131641678e+10 
+6.0000000000000000e+01 +3.6165513869888427e-01 -2.4936841570269220e+02 +3.7018254603761079e+03 +6.6458861609541632e+07 -1.4155092194197634e+10 
+6.0100000000000001e+01 +3.5940135886964841e-01 -2.4789176346107092e+02 +4.7717524650124169e+03 +6.5391975578193091e+07 -1.4114947118235462e+10 
+6.0200000000000003e+01 +3.5716236764038278e-01 -2.4641483353856299e+02 +5.7967225231601515e+03 +6.4388593074482009e+07 -1.4119011920147718e+10 
+6.0300000000000004e+01 +3.5493809551832944e-01 -2.4493826784693263e+02 +6.7812354910541289e+03 +6.3435147263039015e+07 -1.4152640659441809e+10 
+6.0400000000000006e+01 +3.5272847301151028e-01 -2.4346270833341276e+02 +7.7297916422395583e+03 +6.2518069527273603e+07 -1.4201184893329445e+10 
+6.0500000000000000e+01 +3.5053343062767961e-01 -2.4198879693160504e+02 +8.6468910801042457e+03 +6.1623792003687896e+07 -1.4249997263121183e+10 
+6.0600000000000001e+01 +3.4835289887415388e-01 -2.4051717555872256e+02 +9.5370337378301738e+03 +6.0738747494100437e+07 -1.4284431285422480e+10 
+6.0700000000000003e+01 +3.4618680825830006e-01 -2.3904848613309355e+02 +1.0404719553048863e+04 +5.9849368807057947e+07 -1.4289840512914413e+10 
+6.0800000000000004e+01 +3.4403508928872001e-01 -2.3758337062365908e+02 +1.1254449027689971e+04 +5.8942086419108123e+07 -1.4251575291216557e+10 
+6.0900000000000006e+01 +3.4189767247201858e-01 -2.3612247091845572e+02 +1.2090721768379432e+04 +5.8003334487104900e+07 -1.4154991007285191e+10 
+6.1000000000000000e+01 +3.3977448831603041e-01 -2.3466642895518982e+02 +1.2918037931184623e+04 +5.7019544908415519e+07 -1.3985439950911463e+10 
+6.1100000000000001e+01 +3.3766546066320158e-01 -2.3321570704431079e+02 +1.3739290412280330e+04 +5.5983198775946841e+07 -1.3736085245324497e+10 
+6.1200000000000003e+01 +3.3557048669506373e-01 -2.3177004901414912e+02 +1.4550943379330176e+04 +5.4910972637431942e+07 -1.3431331472102024e+10 
+6.1300000000000004e+01 +3.3348945692762183e-01 -2.3032901906084797e+02 +1.5347853690903552e+04 +5.3825592421517141e+07 -1.3103394281841965e+10 
+6.1400000000000006e+01 +3.3142226187741392e-01 -2.2889218140224443e+02 +1.6124878446159140e+04 +5.2749783066787615e+07 -1.2784487968202890e+10 
+6.1500000000000000e+01 +3.2936879206039066e-01 -2.2745910023047762e+02 +1.6876874447279522e+04 +5.1706270767403275e+07 -1.2506828578920593e+10 
+6.1600000000000001e+01 +3.2732893799246721e-01 -2.2602933973898621e+02 +1.7598698529791654e+04 +5.0717781526702747e+07 -1.2302631846618790e+10 
+6.1700000000000003e+01 +3.2530259019002900e-01 -2.2460246413810876e+02 +1.8285207700743562e+04 +4.9807040687675148e+07 -1.2204112644535919e+10 
+6.1800000000000004e+01 +3.2328963916941084e-01 -2.2317803763779727e+02 +1.8931258974401226e+04 +4.8996773531465501e+07 -1.2243485729438316e+10 
+6.1900000000000006e+01 +3.2128997544606980e-01 -2.2175562441057889e+02 +1.9531708939076067e+04 +4.8309707121274270e+07 -1.2452968328454884e+10 
+6.2000000000000000e+01 +3.1930348953708537e-01 -2.2033478869620157e+02 +2.0081414935990782e+04 +4.7768565402477443e+07 -1.2864773377131052e+10 
+6.2100000000000001e+01 +3.1733008149931496e-01 -2.1891532699274936e+02 +2.0577654554062192e+04 +4.7385768905155867e+07 -1.3496166233205458e+10 
+6.2200000000000003e+01 +3.1536968955420203e-01 -2.1749796504918990e+02 +2.1027388747306679e+04 +4.7132514839331292e+07 -1.4304608819108931e+10 
+6.2300000000000004e+01 +3.1342226146387148e-01 -2.1608366090937952e+02 +2.1439999122098790e+04 +4.6969695335913748e+07 -1.5232613200270788e+10 
+6.2400000000000006e+01 +3.1148774499138365e-01 -2.1467337265677898e+02 +2.1824867732865518e+04 +4.6858200658995911e+07 -1.6222688861644627e+10 
+6.2500000000000000e+01 +3.0956608789880469e-01 -2.1326805833264879e+02 +2.2191376155227379e+04 +4.6758923072323069e+07 -1.7217348057417870e+10 
+6.2600000000000001e+01 +3.0765723794889294e-01 -2.1186867600742545e+02 +2.2548906295489011e+04 +4.6632753458153367e+07 -1.8159101127359600e+10 
+6.2700000000000003e+01 +3.0576114290409367e-01 -2.1047618373839617e+02 +2.2906839910098894e+04 +4.6440583328483716e+07 -1.8990459288307289e+10 
+6.2800000000000004e+01 +3.0387775052677357e-01 -2.0909153957940902e+02 +2.3274558717083961e+04 +4.6143304352529615e+07 -1.9653933970767815e+10 
+6.2900000000000006e+01 +3.0200700857952212e-01 -2.0771570159425650e+02 +2.3661444550142318e+04 +4.5701807708986029e+07 -2.0092035918818321e+10 
+6.3000000000000000e+01 +3.0014886482478087e-01 -2.0634962783962291e+02 +2.4076879156534003e+04 +4.5076984954265893e+07 -2.0247276416648403e+10 
+6.3100000000000001e+01 +2.9830325806422719e-01 -2.0499398888132569e+02 +2.4527316155507498e+04 +4.4242190436255671e+07 -2.0080380998065720e+10 
+6.3200000000000003e+01 +2.9647009125644447e-01 -2.0364830531956082e+02 +2.5007496626160995e+04 +4.3220629798235565e+07 -1.9624932388402805e+10 
+6.3300000000000004e+01 +2.9464925839913708e-01 -2.0231181025732002e+02 +2.5509233437688206e+04 +4.2047971845482200e+07 -1.8932728104571922e+10 
+6.3400000000000006e+01 +2.9284065349036015e-01 -2.0098373681302019e+02 +2.6024339638019232e+04 +4.0759884626458541e+07 -1.8055564605127850e+10 
+6.3500000000000000e+01 +2.9104417052758791e-01 -1.9966331808044401e+02 +2.6544627995689716e+04 +3.9392037356060952e+07 -1.7045239963522591e+10 
+6.3600000000000001e+01 +2.8925970350878982e-01 -1.9834978717396132e+02 +2.7061911510016213e+04 +3.7980098292630158e+07 -1.5953550935213858e+10 
+6.3700000000000003e+01 +2.8748714643140477e-01 -1.9704237718685320e+02 +2.7568002949925165e+04 +3.6559736633633003e+07 -1.4832295554699724e+10 
+6.3800000000000004e+01 +2.8572639329355332e-01 -1.9574032123877251e+02 +2.8054715367177610e+04 +3.5166620439637005e+07 -1.3733270324904419e+10 
+6.3900000000000006e+01 +2.8397733809304532e-01 -1.9444285243872164e+02 +2.8513861710580299e+04 +3.3836418149914876e+07 -1.2708272221562639e+10 
+6.4000000000000000e+01 +2.8223987482716389e-01 -1.9314920387258613e+02 +2.8937254658411344e+04 +3.2604799361103676e+07 -1.1809099853389566e+10 
+6.4100000000000009e+01 +2.8051390494834272e-01 -1.9185880889160859e+02 +2.9318640438591854e+04 +3.1499579042121369e+07 -1.1076300592532230e+10 
+6.4200000000000003e+01 +2.7879935972365882e-01 -1.9057190166718578e+02 +2.9659496797599499e+04 +3.0517164713027634e+07 -1.0505432073779785e+10 
+6.4299999999999997e+01 +2.7709617787497209e-01 -1.8928891661986611e+02 +2.9963234841902980e+04 +2.9646110076836038e+07 -1.0080801838017754e+10 
+6.4400000000000006e+01 +2.7540429812413847e-01 -1.8801028817034856e+02 +3.0233265681112811e+04 +2.8874968820410173e+07 -9.7867174014434185e+09 
+6.4500000000000000e+01 +2.7372365919237479e-01 -1.8673645071349455e+02 +3.0473000139972861e+04 +2.8192295798052266e+07 -9.6074878755110874e+09 
+6.4600000000000009e+01 +2.7205419980171280e-01 -1.8546783867742553e+02 +3.0685849412369418e+04 +2.7586644343653634e+07 -9.5274202859056568e+09 
+6.4700000000000003e+01 +2.7039585867359250e-01 -1.8420488646531092e+02 +3.0875224409232778e+04 +2.7046568974604972e+07 -9.5308233006875343e+09 
+6.4799999999999997e+01 +2.6874857452957196e-01 -1.8294802848621853e+02 +3.1044536115312974e+04 +2.6560623878589686e+07 -9.6020051085463352e+09 
+6.4900000000000006e+01 +2.6711228609141602e-01 -1.8169769915696492e+02 +3.1197195595786183e+04 +2.6117362929687899e+07 -9.7252734869363232e+09 
+6.5000000000000000e+01 +2.6548693208100949e-01 -1.8045433289952504e+02 +3.1336613975631513e+04 +2.5705339747638408e+07 -9.8849358558886623e+09 
+6.5100000000000009e+01 +2.6387244797413545e-01 -1.7921827250115848e+02 +3.1465634943227386e+04 +2.5314809040545464e+07 -1.0067531769570173e+10 
+6.5200000000000003e+01 +2.6226875626372054e-01 -1.7798949426786425e+02 +3.1584833043242787e+04 +2.4942827491077375e+07 -1.0268526158798977e+10 
+6.5299999999999997e+01 +2.6067577619837262e-01 -1.7676788294554032e+02 +3.1694216225633805e+04 +2.4588149364840832e+07 -1.0485611243045742e+10 
+6.5400000000000006e+01 +2.5909342702540200e-01 -1.7555332322538030e+02 +3.1793791821329211e+04 +2.4249531508564837e+07 -1.0716482812368177e+10 
+6.5500000000000000e+01 +2.5752162799228445e-01 -1.7434569980613870e+02 +3.1883567249692802e+04 +2.3925730393976741e+07 -1.0958836132935141e+10 
+6.5600000000000009e+01 +2.5596029834743766e-01 -1.7314489742512819e+02 +3.1963550360106721e+04 +2.3615500715025224e+07 -1.1210364025345108e+10 
+6.5700000000000003e+01 +2.5440935733802028e-01 -1.7195080076750224e+02 +3.2033748416716058e+04 +2.3317599594082329e+07 -1.1468762659149990e+10 
+6.5799999999999997e+01 +2.5286872421231055e-01 -1.7076329456455997e+02 +3.2094169199733446e+04 +2.3030782016742546e+07 -1.1731725261569441e+10 
+6.5900000000000006e+01 +2.5133831821760311e-01 -1.6958226350809130e+02 +3.2144820054711759e+04 +2.2753804747859776e+07 -1.1996947489430573e+10 
+6.6000000000000000e+01 +2.4981805860188572e-01 -1.6840759231673997e+02 +3.2185708615381718e+04 +2.2485423394044176e+07 -1.2262123439872641e+10 
+6.6100000000000009e+01 +2.4830786813348257e-01 -1.6723922412842450e+02 +3.2217236553173407e+04 +2.2223083827635095e+07 -1.2523111282775110e+10 
+6.6200000000000003e+01 +2.4680768366282452e-01 -1.6607733578323598e+02 +3.2241381926827875e+04 +2.1958992129770152e+07 -1.2768424428038582e+10 
+6.6299999999999997e+01 +2.4531744556075449e-01 -1.6492216254188139e+02 +3.2260516835010025e+04 +2.1684044674945757e+07 -1.2984740433500042e+10 
+6.6400000000000006e+01 +2.4383709419870656e-01 -1.6377393969097233e+02 +3.2277013675835642e+04 +2.1389136571994938e+07 -1.3158735089688665e+10 
+6.6500000000000000e+01 +2.4236656994733421e-01 -1.6263290248256678e+02 +3.2293244446291446e+04 +2.1065164628932312e+07 -1.3277086562826426e+10 
+6.6600000000000009e+01 +2.4090581317775830e-01 -1.6149928619029856e+02 +3.2311581399486317e+04 +2.0703024553464547e+07 -1.3326471465787058e+10 
+6.6700000000000003e+01 +2.3945476426099713e-01 -1.6037332608224668e+02 +3.2334396717288360e+04 +2.0293612374223877e+07 -1.3293566879376511e+10 
+6.6799999999999997e+01 +2.3801336356825684e-01 -1.5925525743461816e+02 +3.2364062675426085e+04 +1.9827823721865229e+07 -1.3165049326281830e+10 
+6.6900000000000006e+01 +2.3658155147045948e-01 -1.5814531551122400e+02 +3.2402951406319804e+04 +1.9296554833761197e+07 -1.2927596178189892e+10 
+6.7000000000000000e+01 +2.3515926833826495e-01 -1.5704373556644742e+02 +3.2453434946380654e+04 +1.8690702318358734e+07 -1.2567885291379683e+10 
+6.7100000000000009e+01 +2.3374645219808010e-01 -1.5595065072107903e+02 +3.2516786344903165e+04 +1.8005994537134312e+07 -1.2079828721475883e+10 
+6.7200000000000003e+01 +2.3234303169640580e-01 -1.5486578544353856e+02 +3.2589881395497250e+04 +1.7257492236843452e+07 -1.1486282678286404e+10 
+6.7299999999999997e+01 +2.3094893313499246e-01 -1.5378876205015499e+02 +3.2668496710822084e+04 +1.6465088684053784e+07 -1.0817338591643538e+10 
+6.7400000000000006e+01 +2.2956408281487567e-01 -1.5271920282707617e+02 +3.2748408562044682e+04 +1.5648678568768904e+07 -1.0103089859841208e+10 
+6.7500000000000000e+01 +2.2818840703753795e-01 -1.5165673007862063e+02 +3.2825393421828980e+04 +1.4828155751938162e+07 -9.3736287451059628e+09 
+6.7600000000000009e+01 +2.2682183210482990e-01 -1.5060096612503608e+02 +3.2895227945239414e+04 +1.4023413328434329e+07 -8.6590464446245670e+09 
+6.7700000000000003e+01 +2.2546428431843657e-01 -1.4955153327933900e+02 +3.2953688704553271e+04 +1.3254344740427950e+07 -7.9894346378923140e+09 
+6.7799999999999997e+01 +2.2411568997953699e-01 -1.4850805383337936e+02 +3.2996552033146625e+04 +1.2540844424850361e+07 -7.3948863792329025e+09 
+6.7900000000000006e+01 +2.2277597538943592e-01 -1.4747015008450887e+02 +3.3019594327812782e+04 +1.1902806551359383e+07 -6.9054943507105484e+09 
+6.8000000000000000e+01 +2.2144506685025894e-01 -1.4643744436409619e+02 +3.3018592366809105e+04 +1.1360123708263217e+07 -6.5513490557197371e+09 
+6.8100000000000009e+01 +2.2012289407906965e-01 -1.4540966143562912e+02 +3.2990580971215444e+04 +1.0926801771998649e+07 -6.3535214120516100e+09 
+6.8200000000000003e+01 +2.1880940045685157e-01 -1.4438693596725156e+02 +3.2937629129034343e+04 +1.0593291449354850e+07 -6.2969924848823709e+09 
+6.8299999999999997e+01 +2.1750453278070522e-01 -1.4336950510579234e+02 +3.2863064377660623e+04 +1.0344154678453365e+07 -6.3577209624291458e+09 
+6.8400000000000006e+01 +2.1620823784708701e-01 -1.4235760597392647e+02 +3.2770214000004140e+04 +1.0163954408614852e+07 -6.5116668841799250e+09 
+6.8500000000000000e+01 +2.1492046245298810e-01 -1.4135147571449454e+02 +3.2662405492985505e+04 +1.0037252733339937e+07 -6.7347891398255301e+09 
+6.8600000000000009e+01 +2.1364115339537521e-01 -1.4035135147097620e+02 +3.2542966370910046e+04 +9.9486116469325852e+06 -7.0030464564765520e+09 
+6.8700000000000003e+01 +2.1237025747113186e-01 -1.3935747038237201e+02 +3.2415224090693828e+04 +9.8825934022113979e+06 -7.2923979382952576e+09 
+6.8799999999999997e+01 +2.1110772147681983e-01 -1.3837006957464675e+02 +3.2282505965938391e+04 +9.8237608365967795e+06 -7.5788034843679953e+09 
+6.8900000000000006e+01 +2.0985349220962482e-01 -1.3738938619995642e+02 +3.2148139605293491e+04 +9.7566755618724730e+06 -7.8382213035161600e+09 
+6.9000000000000000e+01 +2.0860751646624193e-01 -1.3641565738987669e+02 +3.2015452385831781e+04 +9.6659001510788351e+06 -8.0466109295863647e+09 
+6.9100000000000009e+01 +2.0736974025907159e-01 -1.3544906979749297e+02 +3.1887141640365950e+04 +9.5391822901831083e+06 -8.1851788541025524e+09 
+6.9200000000000003e+01 +2.0614010646318520e-01 -1.3448960815990708e+02 +3.1763384535330995e+04 +9.3770099744174518e+06 -8.2561191028745441e+09 
+6.9299999999999997e+01 +2.0491855716900539e-01 -1.3353720672161725e+02 +3.1643728038555910e+04 +9.1830569409614559e+06 -8.2668735154079571e+09 
+6.9400000000000006e+01 +2.0370503446704852e-01 -1.3259179973099967e+02 +3.1527719161787587e+04 +8.9609967426231131e+06 -8.2248836740870562e+09 
+6.9500000000000000e+01 +2.0249948044765650e-01 -1.3165332142915943e+02 +3.1414904834811623e+04 +8.7145032742009424e+06 -8.1375916355560522e+09 
+6.9600000000000009e+01 +2.0130183720140463e-01 -1.3072170606663153e+02 +3.1304832091417753e+04 +8.4472500036462694e+06 -8.0124388720806952e+09 
+6.9700000000000003e+01 +2.0011204681893949e-01 -1.2979688789701709e+02 +3.1197048000986357e+04 +8.1629102475092970e+06 -7.8568666432794466e+09 
+6.9799999999999997e+01 +1.9893005139054512e-01 -1.2887880115897218e+02 +3.1091099465355826e+04 +7.8651580176345473e+06 -7.6783171679902515e+09 
+6.9900000000000006e+01 +1.9775579300679860e-01 -1.2796738010344347e+02 +3.0986533525173170e+04 +7.5576667475668825e+06 -7.4842318654373980e+09 
+7.0000000000000000e+01 +1.9658921375817814e-01 -1.2706255897754581e+02 +3.0882897180380194e+04 +7.2441100326404423e+06 -7.2820523703829966e+09 
+7.0100000000000009e+01 +1.9543025681324236e-01 -1.2616427140755142e+02 +3.0779733467403603e+04 +6.9277580313503668e+06 -7.0779552996577349e+09 
+7.0200000000000003e+01 +1.9427886965259400e-01 -1.2527244853416985e+02 +3.0676569609820985e+04 +6.6102667965492429e+06 -6.8730565164148836e+09 
+7.0299999999999997e+01 +1.9313500083493690e-01 -1.2438702087657894e+02 +3.0572928849979922e+04 +6.2928890445746491e+06 -6.6672070299396286e+09 
+7.0400000000000006e+01 +1.9199859891885887e-01 -1.2350791895185499e+02 +3.0468334424507077e+04 +5.9768774667589348e+06 -6.4602577676232004e+09 
+7.0500000000000000e+01 +1.9086961246322570e-01 -1.2263507328632299e+02 +3.0362309659306778e+04 +5.6634844230096135e+06 -6.2520592374401703e+09 
+7.0600000000000009e+01 +1.8974799002672907e-01 -1.2176841440103138e+02 +3.0254377833312552e+04 +5.3539624352675956e+06 -6.0424621391322079e+09 
+7.0700000000000003e+01 +1.8863368016767307e-01 -1.2090787279965589e+02 +3.0144062022277853e+04 +5.0495648906113384e+06 -5.8313183867140074e+09 
+7.0799999999999997e+01 +1.8752663144510151e-01 -1.2005337901665553e+02 +3.0030885648025887e+04 +4.7515437386960778e+06 -5.6184779107486429e+09 
+7.0900000000000006e+01 +1.8642679241763913e-01 -1.1920486357025810e+02 +2.9914371957724670e+04 +4.4611516332787629e+06 -5.4037915925972509e+09 
+7.1000000000000000e+01 +1.8533411164382399e-01 -1.1836225697377657e+02 +2.9794044134652886e+04 +4.1796415174688832e+06 -5.1871107364811859e+09 
+7.1100000000000009e+01 +1.8424853774625613e-01 -1.1752549553452235e+02 +2.9669523282280363e+04 +3.9082186199068148e+06 -4.9689390941690378e+09 
+7.1200000000000003e+01 +1.8317001960372575e-01 -1.1669453872757079e+02 +2.9540822050971601e+04 +3.6478979877185011e+06 -4.7523912630263691e+09 
+7.1299999999999997e+01 +1.8209850615839887e-01 -1.1586935179573118e+02 +2.9408050731900003e+04 +3.3996480691848379e+06 -4.5412357826858549e+09 
+7.1400000000000006e+01 +1.8103394635270928e-01 -1.1504989998996629e+02 +2.9271319687090119e+04 +3.1644370771004395e+06 -4.3392409264295397e+09 
+7.1500000000000000e+01 +1.7997628912926608e-01 -1.1423614857003317e+02 +2.9130739387932892e+04 +2.9432327405698621e+06 -4.1501742710128212e+09 
+7.1600000000000009e+01 +1.7892548343054951e-01 -1.1342806278948997e+02 +2.8986420230436637e+04 +2.7370031173499944e+06 -3.9778038617564354e+09 
+7.1700000000000003e+01 +1.7788147819879585e-01 -1.1262560789240584e+02 +2.8838472508435832e+04 +2.5467166773799234e+06 -3.8258983009928584e+09 
+7.1799999999999997e+01 +1.7684422237633179e-01 -1.1182874912680143e+02 +2.8687006560957423e+04 +2.3733417011365448e+06 -3.6982259279995079e+09 
+7.1900000000000006e+01 +1.7581366490603104e-01 -1.1103745176248943e+02 +2.8532132966130033e+04 +2.2178454915678496e+06 -3.5985537482394199e+09 
+7.2000000000000000e+01 +1.7478975473005612e-01 -1.1025168104042096e+02 +2.8373961982460183e+04 +2.0811966658152116e+06 -3.5306505673327026e+09 
+7.2100000000000009e+01 +1.7377244203726083e-01 -1.0947141026023814e+02 +2.8212719392367650e+04 +1.9634128228115130e+06 -3.4961929174599853e+09 
+7.2200000000000003e+01 +1.7276168200157629e-01 -1.0869664488664306e+02 +2.8049092293625730e+04 +1.8607107208518605e+06 -3.4884926883115754e+09 
+7.2299999999999997e+01 +1.7175743104356875e-01 -1.0792739844009257e+02 +2.7883883271987535e+04 +1.7683562556021584e+06 -3.4987697158566914e+09 
+7.2400000000000006e+01 +1.7075964558365977e-01 -1.0716368443522110e+02 +2.7717894848238262e+04 +1.6816155922040844e+06 -3.5182442080789108e+09 
+7.2500000000000000e+01 +1.6976828204228403e-01 -1.0640551638728445e+02 +2.7551929551024186e+04 +1.5957548608502480e+06 -3.5381363227238684e+09 
+7.2600000000000009e+01 +1.6878329684001173e-01 -1.0565290781739571e+02 +2.7386789976331638e+04 +1.5060399073247407e+06 -3.5496658199809909e+09 
+7.2700000000000003e+01 +1.6780464639698278e-01 -1.0490587222907770e+02 +2.7223278524497222e+04 +1.4077373843620569e+06 -3.5440535679901934e+09 
+7.2799999999999997e+01 +1.6683228713367904e-01 -1.0416442313880849e+02 +2.7062197732894765e+04 +1.2961133995054446e+06 -3.5125197063651528e+09 
+7.2900000000000006e+01 +1.6586617547074065e-01 -1.0342857407112339e+02 +2.6904350239128064e+04 +1.1664336175131612e+06 -3.4462837378530550e+09 
+7.3000000000000000e+01 +1.6490626782835852e-01 -1.0269833853068612e+02 +2.6750538449998305e+04 +1.0139646816190964e+06 -3.3365665343949680e+09 
+7.3100000000000009e+01 +1.6395252099786545e-01 -1.0197371033172621e+02 +2.6601184138657849e+04 +8.3616246771666291e+05 -3.1783675893003173e+09 
+7.3200000000000003e+01 +1.6300489325388196e-01 -1.0125460446970587e+02 +2.6455185879913992e+04 +6.3924259792963206e+05 -2.9818048216035089e+09 
+7.3299999999999997e+01 +1.6206334324184499e-01 -1.0054091623559984e+02 +2.6311061453484046e+04 +4.3161060745135293e+05 -2.7607757204809890e+09 
+7.3400000000000006e+01 +1.6112782960698893e-01 -9.9832540911492970e+01 +2.6167328536437250e+04 +2.2167246445047719e+05 -2.5291783784446759e+09 
+7.3500000000000000e+01 +1.6019831099446039e-01 -9.9129373776152576e+01 +2.6022504770740379e+04 +1.7834277042732123e+04 -2.3009110754769888e+09 
+7.3600000000000009e+01 +1.5927474605014855e-01 -9.8431310139277500e+01 +2.5875108146034690e+04 -1.7149929014755576e+05 -2.0898701007032123e+09 
